Sample	Raw	f1.trim1	f1.trim2	f2.trim1	f2.trim2	b.trim1	b.trim2
P03_09_B	29222	0	0	2	0	28888	28886
P01_08_G	13034	12086	12084	0	0	692	692
P02_04_A	18549	0	0	18277	18274	6	0
P03_10_C	26738	0	0	1	0	26424	26422
P03_05_H	15732	1	0	0	0	15578	15577
P04_12_C	3233	0	0	3	0	3192	3192
P02_11_B	17253	0	0	17027	17018	2	0
P02_12_H	5017	0	0	4945	4913	1	0
P03_05_E	31402	2	0	0	0	31032	31031
P02_12_C	488	0	0	475	475	5	0
P04_09_F	17159	0	0	16887	16886	8	0
P04_04_C	5149	5060	5059	3	0	4	0
P04_12_H	5082	1	0	5	0	5011	5011
P04_06_A	19725	5	0	19416	19416	7	0
P01_04_H	15964	15728	15728	1	0	4	0
P01_01_D	28120	27652	27651	1	0	2	0
P04_02_B	53815	52956	52955	0	0	6	0
P03_01_G	19949	0	0	1	0	19671	19670
P02_02_H	17378	0	0	17151	17151	0	0
P02_10_F	9367	1	0	9221	9219	5	0
P01_11_B	6885	6790	6790	0	0	0	0
P04_04_D	32048	31617	31617	2	0	5	0
P03_01_D	27966	0	0	0	0	26750	26749
P02_12_B	18114	0	0	17855	17850	13	0
P02_11_C	17219	0	0	16961	16954	3	0
P02_09_E	8296	0	0	8200	8199	0	0
P03_09_G	13877	0	0	0	0	12960	12960
P03_09_D	34351	2	0	0	0	33909	33907
P03_04_C	19966	0	0	0	0	19375	19374
P02_10_E	21719	0	0	21447	21439	3	0
P04_10_A	18696	0	0	18390	18315	15	0
P04_04_H	87	74	67	1	0	3	0
P03_02_H	24639	0	0	2	0	24393	24389
P04_05_A	11461	11297	11296	1	0	1	0
P05_02_E	720	0	0	0	0	713	711
P03_03_A	15470	0	0	1	0	15080	15076
P03_06_B	10	1	0	1	0	5	0
P05_01_B	6119	0	0	0	0	6047	6047
P05_01_F	5635	0	0	0	0	5563	5563
P02_04_C	6318	1	0	6223	6221	1	0
P03_09_H	13395	0	0	0	0	12282	12281
P03_12_B	21896	0	0	4	0	21666	21666
P03_07_E	28191	2	0	0	0	27007	27007
P04_03_C	16654	16344	16343	1	0	5	0
P04_04_B	4695	4595	4593	2	0	8	0
P04_01_E	24	14	0	2	0	2	0
P01_07_H	29786	28968	28967	3	0	424	424
P02_01_C	39373	1	0	38761	38728	5	0
P04_12_A	9739	1	0	4	0	9614	9614
P01_07_C	8696	8539	8535	1	0	0	0
P03_03_G	17271	1	0	1	0	17034	17034
P01_10_D	2346	2303	2301	1	0	2	0
P01_10_A	13845	13652	13651	1	0	3	0
P01_12_C	11738	11567	11566	1	0	0	0
P04_01_A	69122	68161	68155	2	0	49	49
P02_09_H	8359	0	0	8213	8210	4	0
P03_11_B	15537	0	0	3	0	15395	15395
P03_06_E	24530	1	0	1	0	24256	24255
P03_05_B	10	0	0	1	0	8	0
P04_08_E	27385	0	0	27033	27033	4	0
P01_09_C	19902	19549	19546	0	0	0	0
P03_07_F	23884	0	0	1	0	22288	22285
P01_08_D	14523	14301	14299	1	0	2	0
P02_12_G	57	0	0	55	53	0	0
P01_01_A	55098	54330	54328	0	0	3	0
P04_08_A	16790	0	0	16563	16561	11	0
P03_06_H	15124	1	0	1	0	14948	14947
P01_03_G	20496	20166	20166	1	0	5	0
P02_08_H	13303	0	0	13122	13121	4	0
P03_10_E	30264	1	0	0	0	28825	28825
P02_05_A	27458	0	0	26952	26948	1	0
P01_11_D	3453	3389	3388	1	0	0	0
P01_02_H	37034	36536	36535	1	0	11	0
P01_04_D	1411	1383	1366	0	0	0	0
P02_07_C	13882	0	0	13702	13698	4	0
P01_07_D	13698	13455	13454	1	0	1	0
P03_02_E	44785	3	0	0	0	44388	44385
P02_10_H	12787	0	0	12631	12629	1	0
P04_03_F	44034	43455	43452	1	0	4	0
P04_02_A	40676	40091	40084	5	0	24	0
P04_03_D	24392	24016	24014	4	0	3	0
P03_12_D	21361	0	0	1	0	21121	21117
P02_03_C	19145	0	0	18867	18857	3	0
P01_11_H	18659	18406	18406	0	0	0	0
P01_10_B	27978	27584	27583	1	0	0	0
P01_01_H	53573	52750	52744	5	0	10	0
P03_10_A	20586	0	0	3	0	20385	20384
P04_09_C	5796	0	0	5694	5694	6	0
P01_01_C	52698	51857	51857	0	0	0	0
P04_02_E	43103	42492	42490	3	0	3	0
P03_02_A	19605	0	0	1	0	19160	19159
P02_05_E	24519	1	0	24160	24156	2	0
P02_12_A	23056	1	0	22688	22679	12	0
P03_05_C	23062	0	0	0	0	22453	22452
P03_02_C	20146	0	0	3	0	19578	19577
