"","Kingdom","Phylum","Class","Order","Family","Genus"
"OTU.1137","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Polymorphobacter"
"OTU.1138","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group",NA
"OTU.1139","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA
"OTU.1140","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"OTU.1141","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"OTU.1142","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter"
"OTU.1143","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"OTU.1144","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae",NA
"OTU.1145","Bacteria",NA,NA,NA,NA,NA
"OTU.1146","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"OTU.1147","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"OTU.1149","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Terriglobus"
"OTU.1150","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter"
"OTU.1151","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae",NA
"OTU.1152","Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA
"OTU.1153","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"OTU.1154","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"OTU.1155","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"OTU.1156","Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA
"OTU.1157","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"OTU.1158","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17",NA
"OTU.1159","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2"
"OTU.1161","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"OTU.1163","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"OTU.1165","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas"
"OTU.1166","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"OTU.1167","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"OTU.1168","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"OTU.1169","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1170","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)",NA,NA
"OTU.1171","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"OTU.1173","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"OTU.1174","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"OTU.1175","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA
"OTU.1178","Bacteria",NA,NA,NA,NA,NA
"OTU.1179","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"OTU.1180","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"OTU.1181","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"OTU.1182","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Salinispira"
"OTU.1183","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae",NA
"OTU.1185","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"OTU.1187","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"OTU.1188","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus"
"OTU.1189","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"OTU.1190","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-7107"
"OTU.1191","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1192","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA
"OTU.1194","Bacteria","Latescibacteria",NA,NA,NA,NA
"OTU.1195","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"OTU.1196","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Aquitalea"
"OTU.1198","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1199","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera"
"OTU.1200","Bacteria","Planctomycetes","vadinHA49",NA,NA,NA
"OTU.1201","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"OTU.1202","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"OTU.1205","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"OTU.1206","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"OTU.1208","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17",NA
"OTU.1210","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"OTU.1212","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix"
"OTU.1213","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"OTU.1214","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"OTU.1216","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"OTU.1218","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"OTU.1219","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"OTU.1220","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"OTU.1221","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"OTU.1222","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum"
"OTU.1223","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA
"OTU.1224","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas"
"OTU.1225","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Fibrella"
"OTU.1226","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"OTU.1227","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19",NA
"OTU.1230","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1232","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.1233","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1234","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"OTU.1238","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA
"OTU.1239","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"OTU.1240","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"OTU.1241","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"OTU.1242","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)",NA,NA
"OTU.1243","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"OTU.1244","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"OTU.1245","Bacteria","Planctomycetes","OM190",NA,NA,NA
"OTU.1246","Bacteria",NA,NA,NA,NA,NA
"OTU.1247","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22",NA,NA
"OTU.1248","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"OTU.1249","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","MM1"
"OTU.1250","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"OTU.1252","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"OTU.1253","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"OTU.1258","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"OTU.1259","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"OTU.1261","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Frankia"
"OTU.1263","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"OTU.1264","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU.1265","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"OTU.1266","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria",NA,NA
"OTU.1267","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"OTU.1268","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"OTU.1269","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"OTU.1270","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"OTU.1271","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Tepidisphaera"
"OTU.1272","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"OTU.1273","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"OTU.1275","Bacteria","Planctomycetes","vadinHA49",NA,NA,NA
"OTU.1277","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Flexibacter"
"OTU.1278","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)",NA,NA
"OTU.1279","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1280","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"OTU.1282","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"OTU.1284","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1286","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"OTU.1287","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17",NA
"OTU.1291","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Cryptosporangium"
"OTU.1292","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum"
"OTU.1293","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"OTU.1295","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"OTU.1296","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","LiUU-11-161",NA
"OTU.1298","Bacteria","Verrucomicrobia","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae",NA
"OTU.1299","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"OTU.1300","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella"
"OTU.1301","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"OTU.1302","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4_lineage"
"OTU.1303","Bacteria",NA,NA,NA,NA,NA
"OTU.1305","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134"
"OTU.1307","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"OTU.1309","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2"
"OTU.1310","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1311","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter"
"OTU.1312","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"OTU.1313","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae",NA
"OTU.1314","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylorosula"
"OTU.1315","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"OTU.1317","Bacteria","Proteobacteria",NA,NA,NA,NA
"OTU.1318","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"OTU.1319","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae",NA
"OTU.1320","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"OTU.1321","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"OTU.1322","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"OTU.1323","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter"
"OTU.1324","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"OTU.1325","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"OTU.1326","Bacteria","Actinobacteria","Actinobacteria","PeM15",NA,NA
"OTU.1327","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales",NA,NA
"OTU.1328","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"OTU.1329","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"OTU.1331","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"OTU.1332","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae",NA
"OTU.1334","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1335","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"OTU.1337","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"OTU.1339","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA
"OTU.1340","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"OTU.1341","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",NA
"OTU.1342","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1343","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"OTU.1344","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"OTU.1345","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134"
"OTU.1348","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae",NA
"OTU.1349","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"OTU.1350","Bacteria",NA,NA,NA,NA,NA
"OTU.1351","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"OTU.1352","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Granulicella"
"OTU.1353","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1354","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"OTU.1355","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"OTU.1356","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA
"OTU.1358","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible_genus_04"
"OTU.1359","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"OTU.1361","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","LiUU-11-161",NA
"OTU.1362","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group",NA
"OTU.1363","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"OTU.1364","Bacteria","WPS-2",NA,NA,NA,NA
"OTU.1367","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible_genus_06"
"OTU.1368","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"OTU.1369","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27",NA
"OTU.1371","Bacteria","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Beggiatoa"
"OTU.1374","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","FukuN18_freshwater_group"
"OTU.1375","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",NA,NA
"OTU.1376","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"OTU.1377","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"OTU.1378","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1379","Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA
"OTU.1381","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA
"OTU.1382","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU.1384","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA
"OTU.1386","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1394","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"OTU.1397","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.1398","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"OTU.1400","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"OTU.1401","Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA
"OTU.1402","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"OTU.1403","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"OTU.1404","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.1406","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"OTU.1407","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12"
"OTU.1408","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"OTU.1409","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Solitalea"
"OTU.1410","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"OTU.1413","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"OTU.1414","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"OTU.1415","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2"
"OTU.1417","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"OTU.1418","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"OTU.1419","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA
"OTU.1421","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"OTU.1422","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"OTU.1423","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"OTU.1424","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"OTU.1425","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"OTU.1429","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"OTU.1431","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1435","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"OTU.1437","Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA
"OTU.1438","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"OTU.1443","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Coleofasciculaceae","Wilmottia_Ant-Ph58"
"OTU.1444","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"OTU.1446","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"OTU.1448","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum"
"OTU.1449","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"OTU.1450","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA
"OTU.1451","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae",NA
"OTU.1452","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"OTU.1453","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"OTU.1454","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"OTU.1456","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"OTU.1457","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"OTU.1458","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"OTU.1459","Bacteria","Proteobacteria",NA,NA,NA,NA
"OTU.1460","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"OTU.1461","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
"OTU.1462","Bacteria","Cyanobacteria","Oxyphotobacteria",NA,NA,NA
"OTU.1464","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Cereibacter"
"OTU.1465","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12"
"OTU.1466","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"OTU.1467","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"OTU.1468","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1469","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","Calothrix_KVSF5"
"OTU.1470","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"OTU.1471","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-73102"
"OTU.1472","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"OTU.1473","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","Calothrix_KVSF5"
"OTU.1474","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1475","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"OTU.1476","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1478","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17",NA
"OTU.1479","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","AAP99"
"OTU.1481","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"OTU.1482","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","alphaI_cluster"
"OTU.1486","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067"
"OTU.1487","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae",NA
"OTU.1488","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"OTU.1490","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767",NA
"OTU.1491","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales",NA,NA
