"","Kingdom","Phylum","Class","Order","Family","Genus"
"OTU.878","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
"OTU.879","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"OTU.880","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group"
"OTU.881","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"OTU.883","Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA
"OTU.884","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"OTU.885","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",NA
"OTU.886","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17",NA
"OTU.887","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
"OTU.888","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"OTU.889","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.890","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
"OTU.892","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.895","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"OTU.896","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis",NA
"OTU.899","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.900","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA
"OTU.901","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Thiovulaceae","Sulfuricurvum"
"OTU.902","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Alterococcus"
"OTU.903","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA
"OTU.904","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus"
"OTU.905","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.907","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"OTU.908","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.909","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"OTU.910","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Scytonema_UTEX_2349"
"OTU.911","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"OTU.912","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Uliginosibacterium"
"OTU.913","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ercella"
"OTU.914","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"OTU.915","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Microcystaceae","SU2_symbiont_group"
"OTU.916","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hylemonella"
"OTU.918","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","CM1G08"
"OTU.921","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134"
"OTU.922","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"OTU.923","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"OTU.925","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"OTU.926","Bacteria","Planctomycetes","OM190",NA,NA,NA
"OTU.927","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17",NA
