"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU.654","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.655","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cadophora",NA
"OTU.656","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Mallocybe",NA
"OTU.657","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.658","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.659","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.660","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium","s__cygneicollum"
"OTU.661","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces",NA
"OTU.663","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Xanthophyllomyces","s__dendrorhous"
"OTU.664","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU.665","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.666","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"OTU.667","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Melampsoraceae","g__Melampsora","s__epitea"
"OTU.668","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.669","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Torulaspora","s__delbrueckii"
"OTU.670","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.671","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU.672","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.673","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.674","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.675","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"OTU.678","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Davidiellomyces","s__australiensis"
"OTU.680","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Trapeliales","f__Trapeliaceae","g__Placynthiella","s__dasaea"
"OTU.681","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Plagiostoma","s__barriae"
"OTU.683","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Laetinaevia",NA
"OTU.684","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales",NA,NA,NA
"OTU.685","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris","s__corallina"
"OTU.687","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium",NA
"OTU.688","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.691","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__nunavutica"
"OTU.692","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.693","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,NA,NA
"OTU.694","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,NA,NA
"OTU.695","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis",NA
"OTU.696","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Seimatosporium","s__pistaciae"
"OTU.697","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Paraleptosphaeria","s__nitschkei"
"OTU.698","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Psilocybe","s__inquilina"
"OTU.699","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Pertusariales",NA,NA,NA
"OTU.700","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.701","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU.702","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"OTU.704","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.706","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.707","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.709","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.710","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"OTU.711","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,NA,NA
"OTU.713","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales",NA,NA,NA
"OTU.714","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Comoclathris","s__rosae"
"OTU.715","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.716","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae",NA,NA
"OTU.717","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas","s__cyathoideum"
"OTU.718","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.720","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.722","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.723","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.724","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales",NA,NA,NA
"OTU.725","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.726","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.727","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Psilocybe","s__montana"
"OTU.728","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis",NA
"OTU.729","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Mycoacia",NA
"OTU.730","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.731","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.732","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__salicinus"
"OTU.734","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.735","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae",NA,NA
"OTU.736","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.737","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU.738","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__scutula"
"OTU.740","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.742","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae",NA,NA
"OTU.743","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus",NA
"OTU.744","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.745","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU.746","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__eureka"
"OTU.747","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.749","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.751","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__infirmominiatum"
"OTU.752","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.753","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Oleoguttula","s__mirabilis"
"OTU.754","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.755","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa",NA
"OTU.756","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae",NA,NA
"OTU.757","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Varicosporium","s__delicatum"
"OTU.758","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales",NA,NA,NA
"OTU.759","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.760","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.761","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae",NA,NA
"OTU.762","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.763","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas","s__cyathoideum"
"OTU.764","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"OTU.765","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__caricicola"
"OTU.766","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"OTU.767","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.768","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"OTU.769","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.770","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.772","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.774","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__globosa"
"OTU.775","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula",NA
"OTU.776","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.777","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU.778","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Seimatosporium","s__pistaciae"
"OTU.779","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__slooffiae"
"OTU.780","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.782","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","g__Phaeotremella","s__skinneri"
"OTU.783","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Loramycetaceae","g__Loramyces","s__macrosporus"
"OTU.784","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Juncaceicola",NA
"OTU.785","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__sake"
"OTU.789","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__triglochinicola"
"OTU.790","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"OTU.792","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.793","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Lecanicillium",NA
"OTU.794","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU.795","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.796","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"OTU.799","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.800","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU.801","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.802","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__cerealis"
"OTU.803","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"OTU.804","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.806","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium","s__cygneicollum"
"OTU.807","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__quadriseptata"
"OTU.808","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU.809","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU.810","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"OTU.811","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__pinicola"
"OTU.813","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Sydowia","s__polyspora"
"OTU.814","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__carnescens"
"OTU.815","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas","s__epicalamia"
"OTU.816","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Helicodendron","s__triglitziense"
"OTU.818","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.819","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.820","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Bullera","s__crocea"
"OTU.822","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas",NA
"OTU.823","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.824","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora","s__acuminata"
"OTU.825","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.827","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.829","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora","s__pleiospora"
"OTU.830","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.831","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Psilocybe","s__montana"
"OTU.832","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"OTU.834","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.835","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"OTU.836","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales",NA,NA,NA
"OTU.837","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Recurvomyces","s__mirabilis"
"OTU.838","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__roseus"
"OTU.839","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.840","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.841","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Heterocephalacria","s__arrabidensis"
"OTU.842","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__caudatus"
"OTU.843","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Phaeomoniella",NA
"OTU.844","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas","s__cyathoideum"
"OTU.845","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"OTU.846","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__dermatis"
"OTU.847","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Ramularia","s__pratensis"
"OTU.848","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Clavatospora","s__longibrachiata"
"OTU.849","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Citeromyces","s__nyonsensis"
"OTU.850","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces",NA
"OTU.851","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.852","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma",NA
"OTU.853","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.854","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Montagnula","s__aloes"
"OTU.855","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae",NA,NA
"OTU.856","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.858","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.859","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.861","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium","s__glutinans"
"OTU.862","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__humicola"
"OTU.863","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__macerans"
"OTU.864","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella",NA
"OTU.865","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium",NA
"OTU.866","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__rosae"
"OTU.868","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae",NA,NA
"OTU.869","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU.870","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__fabae"
"OTU.871","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Heterocephalacria","s__arrabidensis"
"OTU.872","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.873","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.874","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces","s__puniceus"
"OTU.875","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae","g__Morchella","s__sextelata"
"OTU.877","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__wiesneri"
"OTU.878","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.879","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU.881","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Hormonema","s__macrosporum"
"OTU.882","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.884","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__hasegawianum"
"OTU.885","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.886","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.887","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.888","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.889","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Kabatina","s__juniperi"
"OTU.890","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.891","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__rutilum"
"OTU.892","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.893","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Sydowiellaceae","g__Tenuiappendicula","s__alnicola"
"OTU.894","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.896","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__rosae"
"OTU.897","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Melanogastraceae","g__Alpova",NA
"OTU.898","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA
"OTU.899","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.900","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.902","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.903","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__coprosmae"
"OTU.904","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__triglochinicola"
"OTU.905","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.906","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.907","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.908","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"OTU.909","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Sclerostagonospora",NA
"OTU.910","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU.911","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium","s__glutinans"
"OTU.912","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Sclerostagonospora",NA
"OTU.913","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Bullera","s__unica"
"OTU.914","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__perniciosus"
"OTU.915","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.916","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"OTU.917","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.918","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__fuscescens"
"OTU.921","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae",NA,NA
"OTU.922","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__sublilacina"
"OTU.923","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.924","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"OTU.927","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.928","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.931","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Agrocybe","s__pediades"
"OTU.933","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__frias"
"OTU.934","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__oeirense"
"OTU.935","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__hungarica"
"OTU.936","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.937","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.938","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__micaceus"
"OTU.940","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"OTU.941","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.942","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.943","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.944","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Endoconidioma","s__populi"
"OTU.945","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
