"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU.471","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Davidhawksworthia",NA
"OTU.472","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Sirobasidiaceae","g__Fibulobasidium","s__inconspicuum"
"OTU.473","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.474","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"OTU.475","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"OTU.476","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales",NA,NA,NA
"OTU.477","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Ophiognomonia",NA
"OTU.478","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Aleurodiscus","s__amorphus"
"OTU.479","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__laminatus"
"OTU.480","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"OTU.481","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.482","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Melampsoraceae","g__Melampsora","s__epitea"
"OTU.483","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","s__megalospora"
"OTU.484","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiales_fam_Incertae_sedis","g__Mrakiella","s__aquatica"
"OTU.485","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Vibrissea","s__flavovirens"
"OTU.486","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Clavatospora","s__longibrachiata"
"OTU.487","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.490","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae",NA,NA
"OTU.491","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Comoclathris","s__rosae"
"OTU.492","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__oeirense"
"OTU.493","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.494","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylellina","s__arcuata"
"OTU.495","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.496","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__terricola"
"OTU.497","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.498","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Tilletiales","f__Tilletiaceae","g__Tilletia","s__puccinelliae"
"OTU.501","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.502","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Kurtzmanomyces",NA
"OTU.503","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA
