"sample","input","filtered","denoised.fwd","denoised.rev","merged","ChimeraFiltered"
"P01_01_A",54328,28682,28231,28083,27513,27513
"P01_01_B",34621,17114,16760,15830,14640,14640
"P01_01_C",51857,27349,27025,27000,25640,24431
"P01_01_D",27651,9979,9495,9335,8883,8883
"P01_01_E",46044,23731,23325,23352,22884,22884
"P01_01_F",47678,25018,24638,24506,24093,24093
"P01_01_G",23867,11209,10778,10761,9902,9902
"P01_01_H",52744,27132,26533,26429,25975,25741
"P01_02_A",35868,18881,18615,18634,17691,17691
"P01_02_C",40683,20383,20090,19911,19105,19105
"P01_02_D",20316,9820,9558,9451,8879,8879
"P01_02_E",57034,30549,30101,30069,29246,29246
"P01_02_F",34271,16044,15526,15517,14791,14791
"P01_02_G",22952,12162,11821,11796,11590,11590
"P01_02_H",36535,19349,18953,18786,18379,18379
"P01_03_A",8308,4416,4255,4187,4010,4010
"P01_03_C",18256,9750,9575,9579,9183,9183
"P01_03_D",50479,25557,25405,25279,25022,25022
"P01_03_E",45034,22658,22333,22293,21207,21207
"P01_03_F",27945,13325,12907,12738,12241,12121
"P01_03_G",20166,10493,10229,10203,9636,9636
"P01_03_H",31728,16117,15930,15839,14535,14535
"P01_04_A",181,91,61,43,30,30
"P01_04_B",2162,1030,915,905,858,858
"P01_04_C",7936,4200,4077,4095,3591,3591
"P01_04_D",1366,726,597,607,451,451
"P01_04_E",15627,7880,7597,7609,7396,7396
"P01_04_F",46084,24929,24722,24712,23640,23640
"P01_04_G",51014,24759,24376,24403,23124,23124
"P01_04_H",15728,8110,7926,7869,7683,7683
"P01_05_A",25488,13112,12831,12649,12393,12286
"P01_05_B",6152,3221,3060,2991,2907,2907
"P01_05_C",9229,4351,4099,4094,3893,3893
"P01_05_D",35822,17800,17499,17413,16733,16733
"P01_05_E",25715,12994,12659,12647,11414,11414
"P01_05_F",28066,14921,14682,14652,13922,13922
"P01_05_G",29845,15079,14635,14622,14301,14301
"P01_05_H",18358,9483,9064,9087,7605,7605
"P01_06_A",35293,19579,19234,19370,18697,18697
"P01_06_C",1601,743,636,607,565,565
"P01_06_D",7863,3814,3639,3610,3450,3450
"P01_06_E",4264,2312,2137,2118,2017,2017
"P01_06_F",38215,19376,19076,19037,17646,17646
"P01_06_G",35585,18060,17774,17715,17398,17398
"P01_06_H",10642,5778,5589,5524,5260,5260
"P01_07_A",24195,12333,11958,11979,10580,10580
"P01_07_B",26353,13915,13678,13667,13453,13453
"P01_07_C",8535,4479,4333,4291,4223,4223
"P01_07_D",13454,6924,6731,6719,6575,6575
"P01_07_E",9732,5233,5019,5033,4645,4645
"P01_07_F",15000,7047,6786,6778,6231,6231
"P01_07_G",19415,8822,8561,8512,8122,8122
"P01_07_H",28967,13977,13607,13558,13185,13185
"P01_08_A",22645,10766,10368,10200,9884,9633
"P01_08_B",42335,21601,21407,21336,21118,21118
"P01_08_C",10939,4809,4549,4503,4353,4353
"P01_08_D",14299,7259,7061,7073,6512,6512
"P01_08_E",26745,14164,13785,13674,13028,13028
"P01_08_F",39633,20434,20016,20083,19752,19752
