"sample","input","filtered","denoised.fwd","denoised.rev","merged","ChimeraFiltered"
"P01_08_G",12084,6078,5762,5754,5249,5249
"P01_08_H",10425,5517,5359,5283,5198,5198
"P01_09_B",24668,13486,13213,13209,13036,13036
"P01_09_C",19546,9557,9258,9250,8632,8632
"P01_09_E",21334,11123,10947,10929,10849,10849
"P01_09_F",38023,20459,20175,20147,19764,19764
"P01_09_G",20405,10978,10869,10864,10727,10727
"P01_09_H",8396,3991,3739,3754,3560,3560
"P01_10_A",13651,7370,7211,7220,7103,7103
"P01_10_B",27583,14130,13827,13715,13076,13076
"P01_10_C",20244,11160,10977,10971,10868,10868
"P01_10_D",2301,1262,1126,1184,1097,1097
"P01_10_E",30265,16347,16126,16123,15838,15838
"P01_10_F",12242,6296,5948,5976,5214,5214
"P01_10_G",5310,2703,2474,2482,2284,2284
"P01_10_H",14572,6975,6797,6638,6190,6190
"P01_11_A",12890,6474,6363,6327,6178,6178
"P01_11_B",6790,3386,3181,3131,2999,2999
"P01_11_C",21005,11176,10854,10861,10684,10684
"P01_11_D",3388,1700,1541,1536,1441,1441
"P01_11_E",25727,12687,12429,12420,11667,11667
"P01_11_F",23923,13105,12880,12891,12780,12780
"P01_11_G",23294,11549,11213,11226,10565,10565
"P01_11_H",18406,9279,8989,8887,8465,8465
"P01_12_A",25250,12108,12035,11974,10740,10740
"P01_12_B",31679,16852,16757,16726,15525,15525
"P01_12_C",11566,5419,5268,5271,4708,4708
"P01_12_D",10934,5555,5394,5265,4874,4874
"P01_12_E",22256,11063,10943,10958,10139,10139
"P01_12_F",53253,27142,26957,26915,24313,24313
"P01_12_G",98,5,1,3,0,0
"P01_12_H",5260,2449,2371,2345,2218,2218
"P04_01_A",68155,34255,33953,33856,32276,32276
"P04_01_C",28105,14195,14107,14105,12054,12054
"P04_01_D",28980,14700,14509,14521,13727,13606
"P04_01_F",31355,16206,16140,16071,14551,14497
"P04_01_G",16923,9121,8974,8843,8723,8723
"P04_01_H",24802,12779,12621,12494,12437,12437
"P04_02_A",40084,20579,20353,20367,19630,19630
"P04_02_B",52955,28291,28188,28180,27758,27758
"P04_02_C",7162,3594,3448,3400,3328,3328
"P04_02_D",30164,13792,13672,13585,13209,13209
"P04_02_E",42490,17836,17535,17501,15651,15651
"P04_02_F",42185,20599,20465,20472,20169,20169
"P04_02_G",17919,9320,9106,9094,8837,8588
"P04_02_H",27451,14768,14672,14639,14278,14278
"P04_03_A",26405,12374,12052,12005,11312,11312
"P04_03_B",27924,13445,13265,13299,13068,13068
"P04_03_C",16343,8012,7825,7830,6439,6439
"P04_03_D",24014,12223,11990,11679,11539,11539
"P04_03_E",20016,9913,9697,9702,8820,8820
"P04_03_F",43452,22456,22184,22226,19552,19321
"P04_03_G",13971,7239,7078,7112,6353,6353
"P04_03_H",21140,10920,10721,10328,9716,9623
"P04_04_A",138,55,54,47,47,47
"P04_04_B",4593,2260,2128,2108,1918,1918
"P04_04_C",5059,2500,2374,2358,2229,2229
"P04_04_D",31617,16862,16646,16511,16120,16120
"P04_04_E",25471,13076,13018,12612,11598,11598
"P04_04_F",25043,13214,13070,13017,12007,12007
"P04_04_G",42532,21754,21456,21589,20267,20267
"P04_04_H",67,11,3,1,0,0
"P04_05_A",11296,5296,5185,5189,4784,4784
